Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",149.750000,-42.270000,270.000000,top
"C2","100n","C_0402_1005Metric",153.500000,-42.270000,90.000000,top
"C3","100n","C_0402_1005Metric",148.500000,-42.230000,90.000000,top
"C4","100n","C_0402_1005Metric",156.250000,-49.730000,270.000000,top
"C5","100n","C_0402_1005Metric",165.480000,-57.000000,0.000000,top
"C6","100n","C_0402_1005Metric",152.250000,-42.270000,270.000000,top
"C7","100n","C_0402_1005Metric",159.480000,-49.000000,180.000000,top
"C8","1u","C_0402_1005Metric",172.000000,-43.204500,270.000000,top
"C9","100n","C_0402_1005Metric",153.000000,-120.900000,180.000000,top
"C10","1u","C_0402_1005Metric",171.250000,-46.797500,90.000000,top
"C11","100n","C_0402_1005Metric",174.250000,-51.230000,270.000000,top
"C12","100n","C_0402_1005Metric",153.000000,-91.400000,180.000000,top
"C13","100n","C_0402_1005Metric",152.900000,-76.500000,180.000000,top
"C14","100n","C_0402_1005Metric",152.900000,-106.200000,180.000000,top
"C15","1u","C_0402_1005Metric",159.250000,-43.730000,90.000000,top
"C16","1u","C_0402_1005Metric",170.480000,-45.250000,0.000000,top
"D1","LED","D_0603_1608Metric",172.945000,-46.824000,90.000000,top
"Q1","Q_NMOS_GSD","SOT-23",167.700000,-59.250000,270.000000,top
"R1","220R","R_0805_2012Metric",162.712500,-56.800000,180.000000,top
"R2","100k","R_0805_2012Metric",164.000000,-61.750000,0.000000,top
"R3","10k","R_0805_2012Metric",161.000000,-60.087500,270.000000,top
"R4","10k","R_0402_1005Metric",166.990000,-61.500000,180.000000,top
"R5","2k2","R_0402_1005Metric",173.500000,-43.214000,90.000000,top
"R6","10k","R_0402_1005Metric",158.490000,-46.000000,0.000000,top
"R7","10k","R_0402_1005Metric",142.190000,-52.100000,0.000000,top
"R8","10k","R_0402_1005Metric",158.500000,-48.000000,0.000000,top
"R9","10k","R_0402_1005Metric",142.210000,-53.100000,0.000000,top
"R10","10k","R_0402_1005Metric",155.990000,-47.000000,0.000000,top
"R11","10k","R_0402_1005Metric",158.500000,-47.000000,0.000000,top
"R12","10k","R_0402_1005Metric",155.990000,-48.000000,0.000000,top
"R13","220R","R_0402_1005Metric",169.290000,-56.800000,180.000000,top
"U1","MAX3232","SOIC-16_3.9x9.9mm_P1.27mm",150.380000,-46.870000,270.000000,top
"U2","LMV321","SOT-23-5",164.000000,-59.250000,0.000000,top
"U3","HT75xx-1-SOT89","SOT-89-3",169.000000,-43.500000,0.000000,top
"U4","STM32G030XX","TSSOP-20_4.4x6.5mm_P0.65mm",164.640000,-50.155000,0.000000,top
"U5","TMP235A2","SOT-353_SC-70-5_Handsoldering_ThoughBoard",153.000000,-117.900000,90.000000,top
"U6","TMP235A2","SOT-353_SC-70-5_Handsoldering_ThoughBoard",171.250000,-51.250000,180.000000,top
"U7","TMP235A2","SOT-353_SC-70-5_Handsoldering_ThoughBoard",152.950000,-88.360000,90.000000,top
"U8","CD4051B","SOIC-16_3.9x9.9mm_P1.27mm",146.870000,-56.370000,180.000000,top
"U9","CD4051B","SOIC-16_3.9x9.9mm_P1.27mm",155.620000,-56.370000,180.000000,top
"U10","TMP235A2","SOT-353_SC-70-5_Handsoldering_ThoughBoard",152.955500,-73.560000,90.000000,top
"U11","TMP235A2","SOT-353_SC-70-5_Handsoldering_ThoughBoard",152.960000,-103.160000,90.000000,top
"U12","L78L05_SOT89","SOT-89-3",162.500000,-43.500000,0.000000,top
