Comment,Designator,Footprint,LCSC
Conn_01x04_Male,"J1,J2",PinHeader_1x04_P2.54mm_Vertical,0
HT75xx-1-SOT89,U3,SOT-89-3,C14289
100k,R2,R_0805_2012Metric,C149504
100n,"C1,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525
10k,R3,R_0805_2012Metric,C17414
220R,R1,R_0805_2012Metric,C17557
CD4051B,"U8,U9",SOIC-16_3.9x9.9mm_P1.27mm,C21379
220R,R13,R_0402_1005Metric,C25091
10k,"R10,R11,R12,R4,R6,R7,R8,R9",R_0402_1005Metric,C25744
2k2,R5,R_0402_1005Metric,C25879
TMP235A2,"U10,U11,U5,U6,U7",SOT-353_SC-70-5,C2868485
1u,"C10,C15,C16,C8",C_0402_1005Metric,C52923
STM32G030XX,U4,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
L78L05_SOT89,U12,SOT-89-3,C71136
LED,D1,D_0603_1608Metric,C72043
MAX3232,U1,SOIC-16_3.9x9.9mm_P1.27mm,C7258
LMV321,U2,SOT-23-5,C7972
Q_NMOS_GSD,Q1,SOT-23,C8545
Conn_01x01_Male,"J10,J3,J4,J5,J6,J7,J8,J9",TestPoint_Pad_2.0x2.0mm,DNP
